counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
0,-211.65000915527344,120.30000305175781,200.37599182128906,-56.250003814697266,-43.650001525878906,344.3659973144531,10.65000057220459,-15.600000381469727,346.05999755859375,92.85000610351562,8.850000381469727,360.5799865722656,-240.3000030517578,101.25000762939453,306.37200927734375,-9.300000190734863,226.65000915527344,349.9320068359375,20.25,322.6500244140625,363.4840087890625,56.85000228881836,374.8500061035156,415.2720031738281,1756211814.5979905,none
1,-217.20001220703125,120.75000762939453,209.08799743652344,-58.35000228881836,-48.60000228881836,338.79998779296875,5.850000381469727,-13.500000953674316,344.8500061035156,92.25,3.750000238418579,357.4339904785156,-242.70001220703125,102.45000457763672,308.54998779296875,-5.25,222.90000915527344,352.83599853515625,23.850000381469727,328.5,364.9360046386719,50.55000305175781,375.0,399.5419921875,1756211814.6019905,none
2,-216.45001220703125,122.4000015258789,204.9739990234375,-60.000003814697266,-47.70000076293945,350.8999938964844,12.300000190734863,-15.300000190734863,351.8680114746094,89.85000610351562,3.9000000953674316,360.8219909667969,-239.70001220703125,102.00000762939453,303.7099914550781,-9.300000190734863,222.75001525878906,357.9179992675781,21.75,321.45001220703125,369.2919921875,57.000003814697266,376.95001220703125,401.9620056152344,1756211814.6055036,none
3,-213.60000610351562,125.25000762939453,204.73199462890625,-60.30000305175781,-47.400001525878906,343.8819885253906,4.350000381469727,-16.950000762939453,355.98199462890625,91.95000457763672,7.650000095367432,357.9179992675781,-241.95001220703125,104.10000610351562,308.0660095214844,-9.90000057220459,224.5500030517578,360.5799865722656,21.30000114440918,320.70001220703125,366.87200927734375,56.70000076293945,371.4000244140625,408.7380065917969,1756211814.60998,none
4,-222.45001220703125,125.10000610351562,199.16600036621094,-58.05000305175781,-49.650001525878906,348.2380065917969,11.100000381469727,-17.55000114440918,352.1099853515625,92.4000015258789,6.300000190734863,361.3059997558594,-240.45001220703125,102.1500015258789,310.7279968261719,-8.40000057220459,223.35000610351562,355.0140075683594,20.55000114440918,324.6000061035156,369.2919921875,51.750003814697266,377.5500183105469,395.9119873046875,1756211814.6136634,none
5,-219.3000030517578,131.85000610351562,198.68199157714844,-60.900001525878906,-47.55000305175781,345.333984375,9.0,-18.150001525878906,350.17401123046875,91.95000457763672,4.350000381469727,367.1139831542969,-238.20001220703125,104.10000610351562,313.8739929199219,-12.600000381469727,226.0500030517578,353.0780029296875,24.0,327.1500244140625,370.9859924316406,55.35000228881836,378.6000061035156,409.4639892578125,1756211814.6186767,none
6,-214.95001220703125,123.45000457763672,202.31199645996094,-63.45000076293945,-44.70000076293945,349.9320068359375,11.850000381469727,-16.200000762939453,355.2560119628906,91.35000610351562,6.600000381469727,360.5799865722656,-245.40000915527344,103.05000305175781,310.0019836425781,-9.0,226.8000030517578,355.0140075683594,22.05000114440918,322.95001220703125,368.3240051269531,54.30000305175781,372.1500244140625,398.3320007324219,1756211814.622677,none
7,-210.75001525878906,124.20000457763672,201.343994140625,-60.30000305175781,-48.150001525878906,344.1239929199219,5.850000381469727,-14.700000762939453,352.593994140625,93.30000305175781,13.350000381469727,363.72601318359375,-237.00001525878906,100.35000610351562,307.8240051269531,-13.050000190734863,224.40000915527344,346.54400634765625,26.55000114440918,326.70001220703125,379.2139892578125,54.900001525878906,373.6500244140625,405.3500061035156,1756211814.6262522,none
8,-219.90000915527344,125.4000015258789,205.6999969482422,-62.10000228881836,-48.45000076293945,342.91400146484375,5.700000286102295,-17.850000381469727,349.20599365234375,91.20000457763672,6.750000476837158,355.739990234375,-242.5500030517578,101.25000762939453,309.2760009765625,-13.950000762939453,225.45001220703125,355.2560119628906,22.950000762939453,329.25,367.5979919433594,49.80000305175781,364.6500244140625,405.5920104980469,1756211814.6302602,none
9,-214.0500030517578,125.70000457763672,204.9739990234375,-61.95000076293945,-49.650001525878906,351.1419982910156,10.5,-17.100000381469727,353.32000732421875,91.35000610351562,8.850000381469727,364.9360046386719,-237.75001525878906,102.45000457763672,313.3899841308594,-6.300000190734863,222.3000030517578,354.0459899902344,17.400001525878906,327.3000183105469,363.9679870605469,52.05000305175781,373.20001220703125,401.7200012207031,1756211814.6334388,none
