counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
0,-175.65000915527344,129.45001220703125,211.99200439453125,-101.70000457763672,-102.60000610351562,359.61199951171875,8.850000381469727,-25.950000762939453,350.17401123046875,85.05000305175781,-39.30000305175781,388.8940124511719,-212.5500030517578,102.1500015258789,310.2439880371094,-47.25,212.5500030517578,368.8079833984375,45.60000228881836,282.0,365.90399169921875,54.60000228881836,352.3500061035156,412.3680114746094,1755950630.4685836,none
1,-176.10000610351562,130.95001220703125,216.1060028076172,-104.55000305175781,-100.80000305175781,365.1780090332031,11.850000381469727,-23.700000762939453,346.05999755859375,86.10000610351562,-42.150001525878906,384.0539855957031,-206.85000610351562,101.4000015258789,309.760009765625,-37.80000305175781,212.85000610351562,370.9859924316406,49.80000305175781,283.0500183105469,362.5159912109375,51.900001525878906,354.3000183105469,407.5279846191406,1755950630.4725897,none
2,-181.5,127.05000305175781,217.8000030517578,-98.10000610351562,-103.05000305175781,360.8219909667969,8.700000762939453,-23.100000381469727,346.7860107421875,86.10000610351562,-40.80000305175781,391.5559997558594,-204.3000030517578,108.75000762939453,313.14801025390625,-41.55000305175781,215.5500030517578,371.9540100097656,48.60000228881836,284.5500183105469,365.41998291015625,54.750003814697266,348.9000244140625,413.82000732421875,1755950630.4772806,none
3,-176.85000610351562,132.60000610351562,214.41200256347656,-94.20000457763672,-101.25000762939453,363.4840087890625,12.600000381469727,-26.850000381469727,343.39801025390625,80.4000015258789,-40.05000305175781,381.1499938964844,-210.15000915527344,106.05000305175781,310.9700012207031,-43.5,212.5500030517578,371.4700012207031,46.20000076293945,283.20001220703125,366.38800048828125,56.10000228881836,348.9000244140625,402.44598388671875,1755950630.4812808,none
4,-177.0,132.3000030517578,213.68600463867188,-103.20000457763672,-100.80000305175781,372.19598388671875,8.700000762939453,-25.80000114440918,350.8999938964844,86.55000305175781,-34.95000076293945,390.8299865722656,-215.40000915527344,104.55000305175781,306.6139831542969,-43.5,213.45001220703125,367.1139831542969,51.750003814697266,283.95001220703125,367.8399963378906,54.150001525878906,352.5,406.3179931640625,1755950630.4851964,none
5,-183.3000030517578,130.35000610351562,215.86399841308594,-99.00000762939453,-103.20000457763672,362.27398681640625,10.950000762939453,-25.05000114440918,349.9320068359375,87.45000457763672,-46.05000305175781,385.989990234375,-211.20001220703125,104.85000610351562,309.51800537109375,-43.20000076293945,213.00001525878906,367.8399963378906,45.0,284.25,368.3240051269531,54.150001525878906,353.4000244140625,407.7699890136719,1755950630.4892004,none
6,-178.20001220703125,130.0500030517578,213.68600463867188,-108.00000762939453,-100.20000457763672,357.4339904785156,16.350000381469727,-26.250001907348633,344.6080017089844,85.80000305175781,-45.30000305175781,381.8760070800781,-209.85000610351562,104.70000457763672,307.5820007324219,-40.650001525878906,214.95001220703125,373.64801025390625,47.85000228881836,282.75,360.8219909667969,54.000003814697266,354.75,399.5419921875,1755950630.49307,none
7,-181.0500030517578,133.35000610351562,213.44400024414062,-103.05000305175781,-99.9000015258789,364.2099914550781,13.65000057220459,-26.700000762939453,344.3659973144531,81.60000610351562,-40.650001525878906,387.4419860839844,-213.60000610351562,103.05000305175781,309.2760009765625,-43.05000305175781,211.50001525878906,379.45599365234375,43.95000076293945,279.3000183105469,370.01800537109375,49.35000228881836,353.8500061035156,393.49200439453125,1755950630.4972668,none
8,-176.85000610351562,133.20001220703125,216.58999633789062,-105.60000610351562,-110.70000457763672,362.75799560546875,12.90000057220459,-23.850000381469727,347.0279846191406,86.55000305175781,-40.95000076293945,386.9580078125,-211.65000915527344,103.50000762939453,307.0979919433594,-39.75,213.3000030517578,370.01800537109375,49.35000228881836,280.3500061035156,357.6759948730469,54.750003814697266,354.45001220703125,410.67401123046875,1755950630.5003746,none
9,-178.35000610351562,131.5500030517578,221.42999267578125,-105.45000457763672,-100.95000457763672,363.24200439453125,11.25,-24.900001525878906,340.2519836425781,86.70000457763672,-47.85000228881836,385.2640075683594,-209.40000915527344,107.25000762939453,310.4859924316406,-44.55000305175781,215.10000610351562,366.14599609375,50.70000076293945,278.5500183105469,353.8039855957031,50.250003814697266,352.6500244140625,418.6600036621094,1755950630.5049787,none
