counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
10,-237.15000915527344,125.55000305175781,202.31199645996094,-138.0,-114.75000762939453,366.14599609375,1.0500000715255737,-25.05000114440918,351.1419982910156,69.45000457763672,-46.20000076293945,387.6839904785156,-254.5500030517578,101.10000610351562,312.17999267578125,-69.60000610351562,235.35000610351562,373.64801025390625,17.400001525878906,326.1000061035156,364.4519958496094,51.900001525878906,369.75,417.45001220703125,1756211923.4764545,none
11,-231.75001525878906,120.00000762939453,197.95599365234375,-142.35000610351562,-118.35000610351562,370.7439880371094,1.8000000715255737,-27.150001525878906,350.6579895019531,69.9000015258789,-48.900001525878906,383.3280029296875,-261.3000183105469,97.35000610351562,300.5639953613281,-77.25,240.60000610351562,367.8399963378906,22.950000762939453,326.70001220703125,363.9679870605469,53.85000228881836,368.25,400.510009765625,1756211923.4804509,none
12,-230.40000915527344,121.80000305175781,199.64999389648438,-137.70001220703125,-112.35000610351562,380.9079895019531,4.650000095367432,-21.450000762939453,347.5119934082031,69.1500015258789,-51.750003814697266,390.10400390625,-258.45001220703125,96.60000610351562,309.51800537109375,-76.80000305175781,235.50001525878906,361.3059997558594,11.100000381469727,326.8500061035156,370.01800537109375,56.85000228881836,372.6000061035156,393.49200439453125,1756211923.484586,none
13,-236.85000610351562,125.4000015258789,193.8419952392578,-144.90000915527344,-115.05000305175781,372.9219970703125,-4.650000095367432,-30.900001525878906,354.0459899902344,71.85000610351562,-49.05000305175781,384.0539855957031,-262.6500244140625,97.80000305175781,317.7460021972656,-67.80000305175781,233.5500030517578,373.406005859375,18.0,328.0500183105469,367.3559875488281,53.400001525878906,369.75,400.510009765625,1756211923.4886107,none
14,-231.90000915527344,115.20000457763672,196.50399780273438,-141.15000915527344,-116.55000305175781,378.7300109863281,3.3000001907348633,-29.400001525878906,347.5119934082031,68.85000610351562,-53.85000228881836,394.4599914550781,-258.45001220703125,93.30000305175781,310.4859924316406,-78.75,237.3000030517578,379.2139892578125,17.400001525878906,328.6500244140625,366.6300048828125,49.05000305175781,372.3000183105469,400.510009765625,1756211923.492602,none
15,-227.10000610351562,123.1500015258789,200.37599182128906,-137.10000610351562,-120.1500015258789,366.87200927734375,1.5,-30.900001525878906,347.5119934082031,69.1500015258789,-49.05000305175781,383.81201171875,-261.6000061035156,92.4000015258789,304.6780090332031,-78.1500015258789,243.15000915527344,362.5159912109375,18.600000381469727,324.75,364.4519958496094,50.250003814697266,371.4000244140625,404.1399841308594,1756211923.497124,none
16,-232.65000915527344,119.4000015258789,200.37599182128906,-136.8000030517578,-118.20000457763672,376.0679931640625,1.6500000953674316,-21.0,348.72198486328125,66.60000610351562,-46.80000305175781,395.1860046386719,-259.95001220703125,99.1500015258789,307.8240051269531,-78.1500015258789,237.45001220703125,369.53399658203125,9.15000057220459,321.9000244140625,364.2099914550781,57.60000228881836,374.25,387.9259948730469,1756211923.5011232,none
17,-239.25001525878906,120.00000762939453,202.0699920654297,-141.3000030517578,-114.75000762939453,368.8079833984375,0.15000000596046448,-28.500001907348633,340.010009765625,66.60000610351562,-52.500003814697266,389.37799072265625,-258.45001220703125,98.25000762939453,310.4859924316406,-72.0,237.15000915527344,371.4700012207031,18.600000381469727,323.5500183105469,363.9679870605469,51.150001525878906,369.75,404.6239929199219,1756211923.5051372,none
18,-231.75001525878906,117.1500015258789,197.22999572753906,-136.8000030517578,-116.4000015258789,370.01800537109375,-2.8500001430511475,-23.400001525878906,345.0920104980469,67.35000610351562,-46.5,386.9580078125,-260.25,94.20000457763672,311.69598388671875,-70.05000305175781,236.10000610351562,363.9679870605469,18.600000381469727,323.70001220703125,361.7900085449219,46.650001525878906,374.8500061035156,406.55999755859375,1756211923.5091376,none
19,-235.0500030517578,125.85000610351562,195.29400634765625,-139.0500030517578,-117.9000015258789,375.583984375,0.6000000238418579,-25.950000762939453,347.5119934082031,66.60000610351562,-43.650001525878906,383.3280029296875,-256.20001220703125,95.70000457763672,314.6000061035156,-77.55000305175781,236.85000610351562,363.4840087890625,14.850000381469727,328.0500183105469,363.72601318359375,53.10000228881836,370.6500244140625,397.12200927734375,1756211923.5121372,none
