counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp
781,-256.95001220703125,2.4000000953674316,315.32598876953125,-65.25,-269.1000061035156,374.3739929199219,10.800000190734863,-192.45001220703125,343.8819885253906,61.05000305175781,-200.25001525878906,380.6659851074219,-181.20001220703125,51.45000076293945,336.3800048828125,-37.95000076293945,135.90000915527344,374.8580017089844,24.450000762939453,104.4000015258789,362.27398681640625,44.70000076293945,85.20000457763672,401.7200012207031,1755917693.242166
782,-256.0500183105469,4.5,310.4859924316406,-60.000003814697266,-280.95001220703125,372.19598388671875,7.050000190734863,-187.65000915527344,332.50799560546875,67.05000305175781,-199.65000915527344,387.6839904785156,-178.0500030517578,49.20000076293945,348.2380065917969,-41.10000228881836,137.25,370.5019836425781,24.450000762939453,101.55000305175781,365.1780090332031,49.20000076293945,87.60000610351562,409.70599365234375,1755917693.2461557
783,-252.90000915527344,0.15000000596046448,306.1300048828125,-68.70000457763672,-271.3500061035156,370.260009765625,8.550000190734863,-193.35000610351562,338.79998779296875,59.400001525878906,-201.45001220703125,387.9259948730469,-185.40000915527344,49.95000076293945,347.0279846191406,-39.150001525878906,133.8000030517578,366.6300048828125,21.0,102.45000457763672,356.7080078125,51.150001525878906,84.75,408.9800109863281,1755917693.2498488
784,-256.6500244140625,-6.450000286102295,306.8559875488281,-61.95000076293945,-271.0500183105469,366.14599609375,5.25,-189.15000915527344,339.0419921875,66.0,-204.75001525878906,393.9759826660156,-178.0500030517578,54.000003814697266,346.7860107421875,-32.85000228881836,133.5,376.30999755859375,28.05000114440918,107.55000305175781,365.6619873046875,49.35000228881836,85.35000610351562,401.9620056152344,1755917693.2548425
785,-255.15000915527344,0.9000000357627869,317.9880065917969,-69.1500015258789,-275.1000061035156,357.9179992675781,3.1500000953674316,-191.10000610351562,337.8320007324219,57.60000228881836,-203.10000610351562,386.23199462890625,-184.8000030517578,58.35000228881836,347.9960021972656,-33.30000305175781,138.0,372.43798828125,27.30000114440918,103.35000610351562,358.885986328125,50.10000228881836,88.20000457763672,403.41400146484375,1755917693.2584686
786,-256.95001220703125,3.1500000953674316,314.3580017089844,-64.95000457763672,-270.1500244140625,367.8399963378906,3.9000000953674316,-194.40000915527344,336.3800048828125,66.75,-202.0500030517578,397.6059875488281,-183.60000610351562,52.20000076293945,339.76800537109375,-29.55000114440918,131.5500030517578,364.6940002441406,25.200000762939453,108.75000762939453,365.41998291015625,51.750003814697266,86.85000610351562,400.26800537109375,1755917693.2625754
787,-260.5500183105469,0.6000000238418579,317.0199890136719,-64.20000457763672,-274.3500061035156,365.1780090332031,10.350000381469727,-193.65000915527344,337.8320007324219,65.25,-197.5500030517578,393.25,-177.45001220703125,53.400001525878906,342.18798828125,-40.95000076293945,136.8000030517578,359.85400390625,26.100000381469727,101.70000457763672,375.82598876953125,53.85000228881836,86.70000457763672,413.33599853515625,1755917693.266566
788,-251.5500030517578,-0.6000000238418579,312.906005859375,-63.60000228881836,-277.6500244140625,365.90399169921875,6.900000095367432,-193.20001220703125,343.39801025390625,61.650001525878906,-200.25001525878906,385.2640075683594,-184.35000610351562,52.500003814697266,341.4620056152344,-38.25,135.15000915527344,367.8399963378906,20.25,111.9000015258789,363.9679870605469,47.85000228881836,91.35000610351562,402.92999267578125,1755917693.2701755
789,-261.45001220703125,-1.0500000715255737,316.052001953125,-65.10000610351562,-281.4000244140625,363.72601318359375,5.25,-189.0,338.79998779296875,62.400001525878906,-206.10000610351562,386.4739990234375,-180.75,51.900001525878906,355.0140075683594,-34.20000076293945,140.70001220703125,371.7120056152344,22.05000114440918,102.9000015258789,366.6300048828125,49.35000228881836,92.70000457763672,394.9440002441406,1755917693.2743187
790,-260.70001220703125,0.45000001788139343,303.9519958496094,-63.30000305175781,-278.25,373.16400146484375,3.9000000953674316,-191.10000610351562,332.75,63.150001525878906,-201.75001525878906,394.4599914550781,-182.5500030517578,58.05000305175781,350.6579895019531,-38.70000076293945,139.0500030517578,357.1919860839844,27.000001907348633,100.95000457763672,375.3420104980469,46.35000228881836,85.05000305175781,408.2539978027344,1755917693.2788782
