counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp
1713,-254.40000915527344,-1.2000000476837158,315.80999755859375,-64.20000457763672,-268.0500183105469,365.90399169921875,8.40000057220459,-189.90000915527344,344.6080017089844,63.30000305175781,-199.35000610351562,387.9259948730469,-174.75,64.05000305175781,346.54400634765625,-34.95000076293945,135.15000915527344,364.2099914550781,21.0,103.20000457763672,373.8899841308594,51.000003814697266,81.45000457763672,395.4280090332031,1755917397.4004786
1714,-257.4000244140625,0.15000000596046448,311.4540100097656,-58.650001525878906,-273.45001220703125,371.4700012207031,4.200000286102295,-186.15000915527344,339.5260009765625,62.400001525878906,-200.85000610351562,388.1679992675781,-181.35000610351562,52.80000305175781,344.6080017089844,-40.80000305175781,139.35000610351562,358.6440124511719,24.0,111.75000762939453,366.87200927734375,51.150001525878906,85.5,402.44598388671875,1755917397.403476
1715,-254.85000610351562,1.8000000715255737,308.0660095214844,-63.900001525878906,-271.20001220703125,370.5019836425781,3.9000000953674316,-189.90000915527344,340.2519836425781,62.10000228881836,-202.8000030517578,390.34600830078125,-172.8000030517578,59.400001525878906,339.76800537109375,-42.150001525878906,135.3000030517578,367.8399963378906,21.75,106.6500015258789,369.7760009765625,50.85000228881836,85.35000610351562,399.5419921875,1755917397.4079769
1716,-260.5500183105469,1.350000023841858,311.4540100097656,-65.10000610351562,-277.20001220703125,368.3240051269531,5.700000286102295,-189.90000915527344,342.42999267578125,66.60000610351562,-199.65000915527344,391.5559997558594,-178.20001220703125,64.35000610351562,339.5260009765625,-42.900001525878906,139.65000915527344,368.3240051269531,20.25,101.70000457763672,368.8079833984375,52.20000076293945,87.1500015258789,402.2040100097656,1755917397.4114857
1717,-258.75,-2.4000000953674316,312.17999267578125,-67.80000305175781,-267.75,376.79400634765625,3.1500000953674316,-187.65000915527344,332.50799560546875,64.35000610351562,-204.45001220703125,386.71600341796875,-177.15000915527344,57.750003814697266,341.7040100097656,-39.30000305175781,132.15000915527344,369.7760009765625,29.55000114440918,105.75000762939453,359.3699951171875,47.25,88.95000457763672,406.07598876953125,1755917397.4156137
1718,-252.3000030517578,2.1000001430511475,307.5820007324219,-66.0,-268.3500061035156,378.97198486328125,9.90000057220459,-189.15000915527344,339.76800537109375,58.80000305175781,-202.0500030517578,389.86199951171875,-177.90000915527344,59.400001525878906,343.8819885253906,-37.95000076293945,137.85000610351562,366.87200927734375,24.150001525878906,102.00000762939453,372.9219970703125,48.0,84.45000457763672,408.7380065917969,1755917397.419452
1719,-257.1000061035156,4.350000381469727,302.25799560546875,-62.10000228881836,-271.95001220703125,361.0639953613281,10.950000762939453,-192.60000610351562,335.1700134277344,63.60000228881836,-202.65000915527344,388.8940124511719,-180.45001220703125,48.150001525878906,332.75,-36.60000228881836,134.5500030517578,370.9859924316406,24.30000114440918,97.50000762939453,373.406005859375,47.55000305175781,85.6500015258789,402.44598388671875,1755917397.4232051
1720,-256.20001220703125,-2.4000000953674316,308.0660095214844,-62.250003814697266,-276.0,369.7760009765625,7.350000381469727,-187.95001220703125,336.13800048828125,61.05000305175781,-205.20001220703125,382.1180114746094,-178.20001220703125,60.45000076293945,345.8179931640625,-32.25,136.65000915527344,366.6300048828125,27.000001907348633,98.55000305175781,363.72601318359375,53.55000305175781,84.60000610351562,405.833984375,1755917397.4267642
1721,-259.20001220703125,0.45000001788139343,304.1940002441406,-66.9000015258789,-277.0500183105469,370.7439880371094,2.700000047683716,-190.35000610351562,337.1059875488281,65.4000015258789,-203.10000610351562,387.20001220703125,-183.3000030517578,55.35000228881836,346.7860107421875,-30.600000381469727,133.95001220703125,368.8079833984375,26.100000381469727,99.45000457763672,371.7120056152344,53.250003814697266,91.05000305175781,406.802001953125,1755917397.4313836
1722,-259.6500244140625,8.40000057220459,302.74200439453125,-57.000003814697266,-274.8000183105469,371.2279968261719,10.65000057220459,-184.35000610351562,352.1099853515625,58.80000305175781,-204.00001525878906,381.8760070800781,-180.15000915527344,59.250003814697266,339.76800537109375,-36.45000076293945,134.70001220703125,372.43798828125,25.80000114440918,104.4000015258789,373.8899841308594,51.45000076293945,80.85000610351562,402.2040100097656,1755917397.4362402
